,asin,brand,title,url,rating,totalReviews,price,Review_URL,Price (Euros)
1,B0009N5L7K,Motorola,Motorola I265 phone,https://www.amazon.com/Motorola-i265-I265-phone/dp/B0009N5L7K,3.0,7.0,49.95,http://www.amazon.com/reviews/B0009N5L7K,48.45
2,B000SKTZ0S,Motorola,MOTOROLA C168i AT&T CINGULAR PREPAID GOPHONE CELL PHONE,https://www.amazon.com/MOTOROLA-C168i-CINGULAR-PREPAID-GOPHONE/dp/B000SKTZ0S,2.7,22.0,99.99,http://www.amazon.com/reviews/B000SKTZ0S,96.99
4,B001DCJAJG,Motorola,Motorola V365 no contract cellular phone AT&T,https://www.amazon.com/Motorola-V365-contract-cellular-phone/dp/B001DCJAJG,3.1,12.0,149.99,http://www.amazon.com/reviews/B001DCJAJG,145.49
9,B002WTC1NG,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,3.6,352.0,139.99,http://www.amazon.com/reviews/B002WTC1NG,135.79
10,B0033SFV5A,Samsung,Verizon or PagePlus Samsung Smooth U350 Great Condition Blue CDMA Cell Phone,https://www.amazon.com/Verizon-PagePlus-Samsung-U350-Condition/dp/B0033SFV5A,3.3,57.0,64.99,http://www.amazon.com/reviews/B0033SFV5A,63.04
11,B003FCO9XE,Samsung,Samsung Smooth Verizon Wireless Prepaid Mobile Cell Camera Phone CDMA,https://www.amazon.com/Samsung-Smooth-Verizon-Wireless-Prepaid/dp/B003FCO9XE,2.6,78.0,99.99,http://www.amazon.com/reviews/B003FCO9XE,96.99
12,B003P2VNAQ,Samsung,"Samsung Rugby II, Black (AT&T)",https://www.amazon.com/Samsung-Rugby-II-Black-AT/dp/B003P2VNAQ,3.6,70.0,179.0,http://www.amazon.com/reviews/B003P2VNAQ,173.63
13,B003W646YK,Motorola,Motorola i570 Nextel iDen PTT rugged black cell phone,https://www.amazon.com/Motorola-i570-Nextel-rugged-black/dp/B003W646YK,2.9,3.0,79.0,http://www.amazon.com/reviews/B003W646YK,76.63
14,B003XREZ4O,Samsung,"Samsung Gusto, Black (Verizon Wireless)",https://www.amazon.com/Samsung-Gusto-Black-Verizon-Wireless/dp/B003XREZ4O,3.4,16.0,99.99,http://www.amazon.com/reviews/B003XREZ4O,96.99
15,B0046REOWS,Samsung,Samsung T201G Prepaid Phone (Net10),https://www.amazon.com/Samsung-T201G-Prepaid-Phone-Net10/dp/B0046REOWS,3.6,22.0,64.94,http://www.amazon.com/reviews/B0046REOWS,62.99
